PropertyName,BuildingType,PrimaryPropertyType,PropertyGFATotal,NumberofFloors,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore,nombre_valeurs_aberrantes,colonnes_aberrantes
Mayflower park hotel,NonResidential,Hotel,88434,12,81.69999695,182.5,7226362.5,3946027.0,1276453.0,2003882.0,249.98,2.83,60.0,3,"NumberofFloors, SteamUse(kBtu), TotalGHGEmissions"
Paramount Hotel,NonResidential,Hotel,103566,11,94.80000305,176.1000061,8387933.0,3242851.0,5145082.0,0.0,295.86,2.86,61.0,3,"NumberofFloors, NaturalGas(kBtu), TotalGHGEmissions"
5673-The Westin Seattle,NonResidential,Hotel,956110,41,96.0,241.8999939,72587024.0,49526664.0,1493800.0,21566554.0,2089.28,2.19,43.0,7,"PropertyGFATotal, NumberofFloors, SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), SteamUse(kBtu), TotalGHGEmissions"
HOTEL MAX,NonResidential,Hotel,61320,10,110.8000031,216.1999969,6794584.0,2768924.0,1811213.0,2214446.25,286.43,4.67,56.0,5,"NumberofFloors, SiteEUI(kBtu/sf), SteamUse(kBtu), TotalGHGEmissions, GHGEmissionsIntensity"
WARWICK SEATTLE HOTEL (ID8),NonResidential,Hotel,175580,18,114.8000031,211.3999939,14172606.0,5368607.0,8803998.0,0.0,505.01,2.88,75.0,5,"NumberofFloors, SiteEUI(kBtu/sf), SiteEnergyUse(kBtu), NaturalGas(kBtu), TotalGHGEmissions"
West Precinct,Nonresidential COS,Other,97288,2,136.1000061,316.2999878,12086616.0,7371434.0,4715182.0,0.0,301.81,3.1,,7,"SiteEUI(kBtu/sf), SourceEUI(kBtu/sf), SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), NaturalGas(kBtu), TotalGHGEmissions"
Camlin,NonResidential,Hotel,83008,11,70.80000305,146.6000061,5758795.0,2811215.0,2947580.0,0.0,176.14,2.12,27.0,1,NumberofFloors
Paramount Theatre,NonResidential,Other,102761,8,61.29999924,141.6999969,6298131.5,3636655.0,385189.0,2276286.5,221.51,2.16,,2,"SteamUse(kBtu), TotalGHGEmissions"
311wh-Pioneer Square,NonResidential,Hotel,163984,15,83.69999695,180.8999939,13723820.0,7297919.0,6425900.0,0.0,392.16,2.39,43.0,6,"NumberofFloors, SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), NaturalGas(kBtu), TotalGHGEmissions"
Lyon Building,Multifamily MR (5-9),Mid-Rise Multifamily,63712,6,81.5,182.6999969,4573777.0,2532015.0,1002026.0,1039735.188,151.12,2.37,1.0,1,SteamUse(kBtu)
Hotel Monaco Seattle,NonResidential,Hotel,153163,11,119.5999985,228.1999969,16016644.0,6187627.0,4591850.0,5237165.5,691.26,4.51,30.0,9,"NumberofFloors, SiteEUI(kBtu/sf), SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), NaturalGas(kBtu), SteamUse(kBtu), TotalGHGEmissions, GHGEmissionsIntensity"
5679-W Seattle,NonResidential,Hotel,333176,25,80.0,199.0,26941110.0,18083049.0,2858700.0,5999360.5,740.97,2.22,36.0,7,"PropertyGFATotal, NumberofFloors, SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), SteamUse(kBtu), TotalGHGEmissions"
Executive Pacific Plaza,NonResidential,Hotel,65009,9,101.5,153.6000061,6596057.5,1343000.0,3596705.0,1656352.5,328.23,5.05,48.0,4,"NaturalGas(kBtu), SteamUse(kBtu), TotalGHGEmissions, GHGEmissionsIntensity"
Crowne Plaza Hotel Seattle,NonResidential,Hotel,315952,33,75.5,179.8999939,22325364.0,13904183.0,4083440.0,4337738.5,648.62,2.05,58.0,8,"PropertyGFATotal, NumberofFloors, SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), NaturalGas(kBtu), SteamUse(kBtu), TotalGHGEmissions"
Hotel Vintage Seattle,NonResidential,Hotel,92190,11,159.5,297.3999939,10750010.0,3832369.0,2046793.0,4870847.5,511.39,5.55,35.0,7,"NumberofFloors, SiteEUI(kBtu/sf), SourceEUI(kBtu/sf), SiteEnergyUse(kBtu), SteamUse(kBtu), TotalGHGEmissions, GHGEmissionsIntensity"
The Seattle Public Library - Central Library,Nonresidential COS,Other,412000,11,50.79999924,155.6000061,18588860.0,17851297.0,0.0,737559.5,181.38,0.44,,6,"PropertyGFATotal, NumberofFloors, SiteEnergyUse(kBtu), Electricity(kWh), Electricity(kBtu), SteamUse(kBtu)"
Downtown Seattle YMCA,NonResidential,Other,103911,6,76.59999847,157.3999939,9956396.0,4453868.0,910180.0,4592347.5,433.86,4.18,,4,"SiteEnergyUse(kBtu), SteamUse(kBtu), TotalGHGEmissions, GHGEmissionsIntensity"
